rank,name,mark,author,publisher,year,price
216,强风吹拂,9.0,三浦紫苑,广西师范大学出版社,2015,39.00
217,你一生的故事,8.7,特德·姜,译林出版社,2015,36.00
218,海底两万里,8.5,儒勒·凡尔纳,译林出版社,2002,19.50
219,荒原狼,9.0,赫尔曼·黑塞,上海译文出版社,2008,13.00
220,稻草人手记,8.9,三毛,北京十月文艺出版社,2009,18.00
221,社会契约论,8.8,卢梭,商务印书馆,2003,18.00
222,步履不停,8.7,是枝裕和,北京联合出版公司,2017,36.80
223,克莱因壶,8.8,冈岛二人,化学工业出版社,2019,48.00
224,狂热分子,8.9,埃里克·霍弗,广西师范大学出版社,2011,34.00
225,二手时间,8.8,S.A.阿列克谢耶维奇,中信出版集团,2016,55.00
226,长袜子皮皮,9.0,阿斯特丽德·林格伦,中国少年儿童出版社,1999,17.80
227,别闹了，费曼先生,8.9,理查德·费曼,生活·读书·新知三联书店,1997,22.00
228,了不起的盖茨比,8.7,弗·司各特·菲茨杰拉德,南海出版公司,2012,25.00
229,呼啸山庄,8.4,艾米莉·勃朗特,人民文学出版社,1999,27.30
230,心是孤独的猎手,8.5,卡森·麦卡勒斯,上海三联书店,2005,25.00
231,牡丹亭,9.0,汤显祖,人民文学出版社,1963,14.50
232,告白,8.5,凑佳苗,哈尔滨出版社,2010,26.00
233,通往奴役之路,8.8,弗里德利希・冯・哈耶克,中国社会科学出版社,1997,16.00
234,尘埃落定,8.5,阿来,人民文学出版社,1998,22.0
235,欢乐英雄,8.8,古龙,珠海出版社,2005,28.00
236,小姨多鹤,8.6,严歌苓,作家出版社,2008,28.00
237,西方哲学史（上卷）,8.9,伯特兰·罗素,商务印书馆,1963,25.00
238,被讨厌的勇气,8.6,岸见一郎,机械工业出版社,2015,39.8
239,消失的13级台阶,8.7,高野和明,上海文艺出版社,2020,42.00
240,世界的凛冬,8.8,肯·福莱特,江苏凤凰文艺出版社,2017,132.00（全三册）
241,娱乐至死,8.5,尼尔·波兹曼,广西师范大学出版社,2011,29.80
242,长夜难明,8.5,紫金陈,云南人民出版社,2017,42.00
243,当呼吸化为空气,8.8,保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,2016,48.00
244,卓有成效的管理者,8.7,彼得·德鲁克,机械工业出版社,2005,28.00
245,红玫瑰与白玫瑰,8.4,张爱玲,花城出版社,1996,12.80
246,陆小凤传奇,8.7,古龙,珠海出版社,2005,94.00
247,心理学与生活,8.8,理查德·格里格,人民邮电出版社,2003,88.00
248,一个人的村庄,8.9,刘亮程,春风文艺出版社,2006,28.00
249,不存在的骑士,8.9,伊塔洛·卡尔维诺,译林出版社,2012,22.00
250,带一本书去巴黎,8.5,林达,生活·读书·新知三联书店,2002,35.00
